parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
activProbF,fibroblast,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05,34,0.211326311946,0.192244928974,0.211491325278,0.338218681114,0.113287511973,0.225074210623,0.187641213713,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,46,32,45,0.39823008849557523,0.40707964601769914,1.09716104209,1.471387352161298,0.9101769911504425,EC_POPULATION_ZERO,-0.187641213713,temporal_fibroblast_tumor_correlation;cumulative_fibroblast_deaths_s480;cumulative_fibroblast_divisions_s480,LOW_INFLUENCE_WITHIN_RANGE
macrophageEndothelialBiasRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,35,0.209203579736,0.213994237965,0.220524719056,0.165551077817,0.233876825316,0.273614176358,0.147660441904,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,40,3,6,0.05309734513274336,0.35398230088495575,1.3452777558,2.17552847370988,0.9318584070796458,MACROPHAGE_POPULATION_ZERO,0.147660441904,active_macrophage_ec_colocalization_s480;active_macrophage_ec_colocalization_s960;tumor_radius_s480,LOW_INFLUENCE_WITHIN_RANGE
activProbE,endothelial,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08,36,0.208688196519,0.153118177397,0.20679696479,0.143597303711,0.103194651518,0.4126218366,0.232800245098,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,37,33,40,0.35398230088495575,0.3274336283185841,0.812457715847,2.0089577301886803,0.9230088495575219,TUMOR_EXTINCT,0.232800245098,ec_activated_fraction_s480;abc_target_03_ec_s480_standardized_residual;abc_target_03_ec_s480_stat,LOW_INFLUENCE_WITHIN_RANGE
tumorEndothelialRadius,endothelial,hard-coded,fixed,False,3.5,1.5,5.5,37,0.200942761047,0.23383246508,0.320329820826,0.163264277283,0.0926997451873,0.242993493201,0.152536764706,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,38,3,5,0.04424778761061947,0.336283185840708,0.761196584497,1.8676070548338795,0.8920353982300885,TUMOR_EXTINCT,0.152536764706,tumor_radius_s1440;tumor_rms_spread_s1440;abc_target_01_jnkp_s480_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
cafDivBoost,fibroblast,ABC-inferred,inferred,True,0.427609468482,0.0,1.0,38,0.193981924239,0.180707908745,0.167773143067,0.17385614243,0.133339541163,0.242148633559,0.266066176471,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,35,27,35,0.30973451327433627,0.30973451327433627,0.727936303972,3.0945225002047376,0.9504424778761063,TUMOR_EXTINCT,0.266066176471,temporal_fibroblast_tumor_correlation;active_macrophage_ec_colocalization_s960;tumor_radius_s1440,LOW_INFLUENCE_WITHIN_RANGE
activProbM,macrophage,ABC-inferred,inferred,True,0.0418290881943,0.02,0.08,39,0.189125767706,0.201971013037,0.238811568693,0.195496609575,0.128911702943,0.292054866888,0.0775088450995,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,44,30,38,0.336283185840708,0.3893805309734513,0.70715092681,1.679814493007818,0.9252212389380531,MACROPHAGE_POPULATION_ZERO,-0.0775088450995,temporal_fibroblast_tumor_correlation;tumor_radius_s960;active_macrophage_ec_colocalization_s480,LOW_INFLUENCE_WITHIN_RANGE
fibroblastTumorRadius,fibroblast,hard-coded,fixed,False,3.5,1.5,5.5,40,0.189102731081,0.215009243341,0.224118579192,0.192336794205,0.0934035524855,0.143832353646,0.265915863617,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,0,1,0.008849557522123894,0.3008849557522124,0.872023661654,4.014319019924016,0.892920353982301,FIBROBLAST_POPULATION_ZERO,-0.265915863617,tumor_radius_s1440;tumor_rms_spread_s1440;tumor_radius_s960,LOW_INFLUENCE_WITHIN_RANGE
ecSurvival,endothelial,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3,41,0.183738262229,0.161974125158,0.143147010912,0.142801556035,0.0671743147021,0.170791678762,0.416540887805,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.549917583876,1.691904663384721,0.9203539823008849,FIBROBLAST_POPULATION_ZERO,0.416540887805,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
deactProbE,endothelial,fixed,fixed,False,0.01,0.0,0.05,42,0.166795277497,0.141260749086,0.175439541429,0.119224289557,0.0894831586494,0.278994097707,0.196369828554,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,37,3,36,0.3185840707964602,0.3274336283185841,0.603197137735,2.0400329992269723,0.9238938053097345,FIBROBLAST_POPULATION_ZERO,-0.196369828554,ec_activated_fraction_s1440;abc_target_05_ec_s1440_stat;abc_target_05_ec_s1440_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
macrophageDaughterActivationBoost,macrophage,hard-coded,fixed,False,0.008,0.002,0.016,43,0.163211843192,0.0875192226445,0.111165386488,0.0712151741764,0.0756117592422,0.218611871566,0.415147645033,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,0,3,0.02654867256637168,0.3008849557522124,0.6642672599,1.9473182439156296,0.9345132743362832,FIBROBLAST_POPULATION_ZERO,-0.415147645033,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
endothelialDaughterDivisionBoost,endothelial,hard-coded,fixed,False,0.001,0.00025,0.002,44,0.132900200834,0.0452641179732,0.0397386439149,0.0246853526859,0.0299596063506,0.157231018041,0.50052246604,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,0,4,0.035398230088495575,0.3008849557522124,0.320668012905,3.940654870990809,0.9039823008849558,FIBROBLAST_POPULATION_ZERO,-0.50052246604,cumulative_ec_divisions_s960;cumulative_ec_deaths_s960;cumulative_ec_deaths_s1440,LOW_INFLUENCE_WITHIN_RANGE
fibroblastSignalCap,fibroblast,hard-coded,fixed,False,10.0,5.0,15.0,45,0.126475814567,0.0505441616848,0.122150163813,0.0493014444113,0.018842665174,0.0944319482725,0.423584504044,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.305643496927,2.440314082374853,0.9318584070796458,FIBROBLAST_POPULATION_ZERO,-0.423584504044,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,LOW_INFLUENCE_WITHIN_RANGE
