,current_status_a,current_status_b,in_abc12,rank_a,rank_b,rank_change_b_minus_a,abs_rank_change,score_a,score_b,score_change,tumor_score_a,tumor_score_b,jnk_score_a,jnk_score_b,fibroblast_score_a,fibroblast_score_b,macrophage_score_a,macrophage_score_b,endothelial_score_a,endothelial_score_b,failure_score_a,failure_score_b
activProbE,ABC-inferred,ABC-inferred,True,24,36,12,12,0.275367185987,0.208688196519,-0.066678989468,0.132554162847,0.153118177397,0.21798146628,0.20679696479,0.125369480271,0.143597303711,0.0699793935375,0.103194651518,0.445001045417,0.4126218366,0.661317567568,0.232800245098
tumorEndothelialRadius,hard-coded,hard-coded,False,42,37,-5,5,0.178961761902,0.200942761047,0.021980999145000013,0.16158220279,0.23383246508,0.2692318197,0.320329820826,0.167447500525,0.163264277283,0.0671841469391,0.0926997451873,0.0780373668785,0.242993493201,0.33028753458,0.152536764706
cafDivBoost,ABC-inferred,ABC-inferred,True,43,38,-5,5,0.174692492087,0.193981924239,0.01928943215199999,0.134639940452,0.180707908745,0.143053696862,0.167773143067,0.144698857039,0.17385614243,0.0703607138326,0.133339541163,0.180244564353,0.242148633559,0.375157179982,0.266066176471
activProbM,ABC-inferred,ABC-inferred,True,33,39,6,6,0.221040601542,0.189125767706,-0.031914833835999995,0.222068340875,0.201971013037,0.258158012571,0.238811568693,0.156811719728,0.195496609575,0.119194258273,0.128911702943,0.241182448976,0.292054866888,0.328828828829,0.0775088450995
fibroblastTumorRadius,hard-coded,hard-coded,False,28,40,12,12,0.248409143774,0.189102731081,-0.059306412692999994,0.176314370321,0.215009243341,0.178104234302,0.224118579192,0.152328738124,0.192336794205,0.0766988890882,0.0934035524855,0.106614486665,0.143832353646,0.800394144144,0.265915863617
ecSurvival,ABC-inferred,ABC-inferred,True,29,41,12,12,0.243787216033,0.183738262229,-0.060048953803999994,0.20731092083,0.161974125158,0.125165975193,0.143147010912,0.167311162988,0.142801556035,0.0630305817152,0.0671743147021,0.162292042856,0.170791678762,0.737612612613,0.416540887805
deactProbE,fixed,fixed,False,26,42,16,16,0.259775351289,0.166795277497,-0.09298007379199999,0.17181696479,0.141260749086,0.106533496492,0.175439541429,0.127902634822,0.119224289557,0.118764668398,0.0894831586494,0.354017226116,0.278994097707,0.679617117117,0.196369828554
macrophageDaughterActivationBoost,hard-coded,hard-coded,False,37,43,6,6,0.209512719059,0.163211843192,-0.04630087586700002,0.131394163972,0.0875192226445,0.139380444315,0.111165386488,0.0916397803554,0.0712151741764,0.0673073033841,0.0756117592422,0.255845613316,0.218611871566,0.571509009009,0.415147645033
endothelialDaughterDivisionBoost,hard-coded,hard-coded,False,45,44,-1,1,0.136544887009,0.132900200834,-0.003644686174999995,0.0498925831185,0.0452641179732,0.0461807891247,0.0397386439149,0.0351393003324,0.0246853526859,0.0303226243366,0.0299596063506,0.112890975817,0.157231018041,0.544843049327,0.50052246604
fibroblastSignalCap,hard-coded,hard-coded,False,40,45,5,5,0.195834586568,0.126475814567,-0.06935877200100002,0.071331071451,0.0505441616848,0.138427011239,0.122150163813,0.0459309750903,0.0493014444113,0.02083047755,0.018842665174,0.109355101195,0.0944319482725,0.789132882883,0.423584504044
