output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialFibroblastCoordinates",false,"structural","F","not screened in untreated Morris design: No defensible resampling rule or range; retain pending image provenance",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","signalSearchMultiplier",false,"computational","F","not screened in untreated Morris design: Numerical accuracy control, not biological uncertainty; screen lambda values instead",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","signalSearchPadding",false,"computational","F","not screened in untreated Morris design: Fixed numerical guard",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkPositiveDeathMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen; not active by step 1440",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkPositiveOffMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkNegativeDeathMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkNegativeOnMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoStartStep",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","gridWidth",false,"structural","F","not screened in untreated Morris design: Domain-size sensitivity requires coordinate remapping and a separate design",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","gridHeight",false,"structural","F","not screened in untreated Morris design: Domain-size sensitivity requires coordinate remapping",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","movementNeighborhood",false,"structural","F","not screened in untreated Morris design: Categorical mechanism change prohibited in this screening",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","calibrationHorizon",false,"structural","F","not screened in untreated Morris design: Defines the scientific observation window rather than a biological parameter",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","snapshotSchedule",false,"structural","F","not screened in untreated Morris design: Observation design, not model uncertainty",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedCenterX",false,"structural stochastic","F","not screened in untreated Morris design: Treat location variability through matched simulation seeds, not as a calibratable biological parameter",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedCenterY",false,"structural stochastic","F","not screened in untreated Morris design: Treat location variability through matched simulation seeds",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorSeedJitter",false,"structural stochastic","F","not screened in untreated Morris design: Stochastic-realization control held fixed for CRN",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","placementAttemptLimit",false,"computational","F","not screened in untreated Morris design: Numerical guard, not biology",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
