parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
fibroblastTumorRadius,fibroblast,hard-coded,fixed,False,3.5,1.5,5.5,34,0.154189555633,0.0904334792383,0.0935507503481,0.237196505953,0.0516530847992,0.177833564814,0.274469948647,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,54,1,12,0.10619469026548672,0.4778761061946903,0.555893567606,1.2811261067513091,0.9654867256637167,MACROPHAGE_POPULATION_ZERO,0.274469948647,fibroblast_log10_fold_s1440;abc_target_07_fibro_s1440_standardized_residual;abc_target_07_fibro_s1440_stat,LOW_INFLUENCE_WITHIN_RANGE
initialLungCount,initialization,hard-coded,fixed,False,1225.0,613.0,1838.0,35,0.152471298143,0.141484653094,0.231283734503,0.132176628198,0.0775882773405,0.0898183433022,0.24247615242,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,41,4,9,0.07964601769911504,0.36283185840707965,0.585124667323,1.5616938011906085,0.9380530973451328,FIBROBLAST_POPULATION_ZERO,-0.24247615242,jnkp_fraction_s1440;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,LOW_INFLUENCE_WITHIN_RANGE
activProbE,endothelial,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08,36,0.141876959067,0.0920921828236,0.129364754308,0.0777918017262,0.0893763072757,0.272390132924,0.190246575342,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,45,32,42,0.37168141592920356,0.39823008849557523,0.931040130243,1.775713618363583,0.9420353982300885,TUMOR_EXTINCT,-0.190246575342,active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440;cumulative_ec_divisions_s480,LOW_INFLUENCE_WITHIN_RANGE
macrophageEndothelialBiasRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,37,0.129703627885,0.0619255481761,0.0782137670751,0.0694301117274,0.157416740898,0.113688121425,0.297547478011,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,2,3,0.02654867256637168,0.3008849557522124,1.99231556382,0.9476946791131805,0.9539823008849558,EC_POPULATION_ZERO,0.297547478011,active_macrophage_ec_colocalization_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440,LOW_INFLUENCE_WITHIN_RANGE
migrProbN,tumor,fixed,fixed,False,0.01,0.0,0.1,38,0.119046659842,0.0986407048681,0.106984953075,0.0820378092994,0.0512542103627,0.145557228507,0.229805052941,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,0,3,0.02654867256637168,0.3008849557522124,0.515559745207,2.1228661333683396,0.9278761061946902,GENERAL_INVALID,0.229805052941,abc_target_04_ec_s960_standardized_residual;ec_activated_fraction_s960;abc_target_04_ec_s960_stat,LOW_INFLUENCE_WITHIN_RANGE
tumorEndothelialRadius,endothelial,hard-coded,fixed,False,3.5,1.5,5.5,39,0.117338189214,0.061051871819,0.0961834256464,0.0480952464033,0.0493819707648,0.0874032236259,0.361913397022,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.376713624417,1.835584618978869,0.9517699115044248,FIBROBLAST_POPULATION_ZERO,-0.361913397022,active_macrophage_ec_colocalization_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440,LOW_INFLUENCE_WITHIN_RANGE
ecSurvival,endothelial,ABC-inferred,inferred,True,0.0509998219712,0.0,0.3,40,0.116493372068,0.0490937125438,0.0820127257739,0.0413316927219,0.0529676514052,0.137720941336,0.335833508625,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,3,3,0.02654867256637168,0.3008849557522124,0.605090561884,1.695682756557336,0.9561946902654869,EC_POPULATION_ZERO,0.335833508625,ec_activated_fraction_s1440;abc_target_05_ec_s1440_standardized_residual;abc_target_05_ec_s1440_stat,LOW_INFLUENCE_WITHIN_RANGE
cafDivBoost,fibroblast,ABC-inferred,inferred,True,0.427609468482,0.0,1.0,41,0.108859776458,0.0816977067062,0.164916706733,0.070320111455,0.0661301744668,0.0818682129598,0.188225746424,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,34,27,31,0.2743362831858407,0.3008849557522124,0.561764111796,,0.9592920353982302,MACROPHAGE_POPULATION_ZERO,-0.188225746424,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,LOW_INFLUENCE_WITHIN_RANGE
fibroblastSignalBoost,fibroblast,hard-coded,fixed,False,0.02,0.005,0.04,42,0.0991048481172,0.0813320601876,0.111489835553,0.0766989879172,0.0606899139153,0.0934736787971,0.170944612333,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.369416566361,1.5721720695143857,0.9676991150442478,FIBROBLAST_POPULATION_ZERO,0.170944612333,active_macrophage_ec_colocalization_s1440;tumor_rms_spread_s1440;jnkp_fraction_s960,LOW_INFLUENCE_WITHIN_RANGE
fibroblastSignalCap,fibroblast,hard-coded,fixed,False,10.0,5.0,15.0,43,0.0809287683819,0.0379589100931,0.06254808771,0.0248416192892,0.0326792463994,0.044043679292,0.283501067508,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.210654709707,1.9166553273778746,0.9553097345132743,FIBROBLAST_POPULATION_ZERO,-0.283501067508,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,LOW_INFLUENCE_WITHIN_RANGE
macrophageDaughterActivationBoost,macrophage,hard-coded,fixed,False,0.008,0.002,0.016,44,0.0725748003069,0.0426270542809,0.0448310254611,0.0476638988549,0.0483591953121,0.0843111056626,0.16765652227,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.297807894812,1.8654560391728818,0.947345132743363,EC_POPULATION_ZERO,0.16765652227,active_macrophage_ec_colocalization_s480;active_macrophage_ec_colocalization_s960;abc_target_03_ec_s480_standardized_residual,LOW_INFLUENCE_WITHIN_RANGE
endothelialDaughterDivisionBoost,endothelial,hard-coded,fixed,False,0.001,0.00025,0.002,45,0.0618081080859,0.0308265273106,0.0697998138878,0.0185147004093,0.0314750083867,0.102665186841,0.11756741168,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,31,0,0,0.0,0.2743362831858407,0.338494505417,1.952990261786773,0.9544247787610619,TUMOR_EXTINCT,-0.11756741168,active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440;cumulative_ec_deaths_s960,LOW_INFLUENCE_WITHIN_RANGE
