output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_08_tumor_s480_stat,tumor,2,pOffMax,-0.641919361007,0.666528340009,0.560340652141,0.8406854120162901,20,1.0,0,0.0,2.48838255965,0.896319332841,0.1,0.9,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_08_tumor_s480_stat,tumor,3,stressStrength,0.451653262055,0.559455983078,0.692604063077,1.237995631517692,20,1.0,0,0.0,2.03451181209,0.752332921808,0.75,0.25,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,4,dieProbMP,0.462316179899,0.541183007499,0.62168647841,1.1487546168218314,19,0.95,1,0.050000000000000044,1.92288649363,0.727760191292,0.894736842105,0.105263157895,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,5,migrProbP,0.401078314506,0.486171333988,0.425012262337,0.874202637269211,20,1.0,0,0.0,3.48718125916,0.653782801975,0.8,0.2,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,6,divProbMP,-0.459967450387,0.483555354231,0.567008157671,1.1725816966140625,19,0.95,1,0.050000000000000044,2.01481507284,0.650264942209,0.0526315789474,0.947368421053,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,7,pOnMax,0.424995950149,0.466353253333,0.469365955358,1.0064601286759949,20,1.0,0,0.0,1.51246436357,0.627132279012,0.9,0.1,strong nonlinearity/interaction-dependent,ABC-inferred,inferred,True
abc_target_08_tumor_s480_stat,tumor,8,lambdaCAF,0.381239312878,0.381239312878,0.345892738704,0.9072850753319052,20,1.0,0,0.0,1.60030785252,0.512674624708,0.95,0.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,9,clusterRadius,0.100177426864,0.364581225348,0.478799500071,1.3132862220592307,20,1.0,0,0.0,1.41416484058,0.490273527853,0.6,0.4,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_08_tumor_s480_stat,tumor,10,lambdaStress,0.300848903841,0.358661908253,0.383800580968,1.0700901660771491,19,0.95,1,0.050000000000000044,1.76874298459,0.482313478698,0.684210526316,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,1,divProbP,5.92351394977,6.04970626297,3.37094808207,0.5572085545216356,18,0.9,2,0.09999999999999998,6.20412609462,1.61669614743,0.944444444444,0.0555555555556,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_standardized_residual,tumor,2,pOffMax,-3.2149385583,3.94148947835,3.74914275502,0.9511994832444609,18,0.9,2,0.09999999999999998,4.11471294224,1.0533058264,0.166666666667,0.833333333333,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_standardized_residual,tumor,3,divProbMP,-3.62326336028,3.90727465808,4.39740608165,1.1254407397638246,17,0.85,3,0.15000000000000002,5.99865785548,1.04416241253,0.176470588235,0.823529411765,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,4,dieProbMP,3.69091570212,3.88435887487,4.0372957778,1.03937249565673,19,0.95,1,0.050000000000000044,4.44229537565,1.03803850225,0.842105263158,0.157894736842,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,5,stressStrength,2.57811997403,2.82952919661,2.42655169484,0.8575814300651858,17,0.85,3,0.15000000000000002,2.62261438024,0.756150588533,0.882352941176,0.117647058824,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,6,migrProbP,2.29547855179,2.73838648218,2.16886450192,0.7920227900750482,17,0.85,3,0.15000000000000002,4.22330712499,0.73179402164,0.882352941176,0.117647058824,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,7,pOnMax,2.07540471933,2.26528795612,2.38507972581,1.0528814755609173,19,0.95,1,0.050000000000000044,1.73156532023,0.605365310692,0.947368421053,0.0526315789474,strong nonlinearity/interaction-dependent,ABC-inferred,inferred,True
abc_target_09_tumor_s960_standardized_residual,tumor,8,lambdaCAF,2.0934810071,2.12401838836,2.71827503341,1.2797794257839914,19,0.95,1,0.050000000000000044,2.50656218403,0.567613070167,0.789473684211,0.105263157895,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,9,recruitBias,-1.63561396307,1.79311572082,2.57298843457,1.4349260366717218,18,0.9,2,0.09999999999999998,1.76611778199,0.479184137499,0.166666666667,0.722222222222,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,10,divProbMN,-1.46461295107,1.75016287831,2.17980097397,1.2454846351642819,17,0.85,3,0.15000000000000002,2.3695106024,0.467705614082,0.294117647059,0.647058823529,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,1,divProbP,1.59934876644,1.633420691,0.910155982158,0.5572085545217328,18,0.9,2,0.09999999999999998,6.20412609462,1.61669614743,0.944444444444,0.0555555555556,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_stat,tumor,2,pOffMax,-0.868033410742,1.06420215915,1.01226854386,0.9511994832528058,18,0.9,2,0.09999999999999998,4.11471294224,1.0533058264,0.166666666667,0.833333333333,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_stat,tumor,3,divProbMP,-0.978281107275,1.05496415768,1.18729964205,1.125440739769797,17,0.85,3,0.15000000000000002,5.99865785548,1.04416241253,0.176470588235,0.823529411765,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,4,dieProbMP,0.996547239573,1.04877689622,1.09006986001,1.03937249565549,19,0.95,1,0.050000000000000044,4.44229537565,1.03803850225,0.842105263158,0.157894736842,strong nonlinearity/interaction-dependent,fixed,fixed,False
