output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_02_jnkp_s1440_stat","jnk","activProbM",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","pOnMax",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","migrProbN",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","divProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","ecSurvival",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","macrophageInteractionRadius",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","fibroblastSignalCap",,,,,,,,,0,1,,,,,,,
"abc_target_02_jnkp_s1440_stat","jnk","tumorEndothelialRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","fibroblastTumorRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","migrProbP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","initialMacrophageCount",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","initialLungCount",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbP",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","initPop",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","lambdaStress",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","endothelialMacrophageRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","migrProbM",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbL",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","clusterRadius",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","deactProbE",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbEN",,,,,,,,,0,1,,,,,,,
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbMP",,,,,,,,,0,1,,,,,,,
