output,output_family,parameter,one_seed_mu_star,multi_seed_mu_star,multi_seed_mu_star_ci_low,multi_seed_mu_star_ci_high,one_seed_restricted_rank,multi_seed_rank,rank_change,multi_seed_sigma,multi_seed_mean_snr,spearman_rank_correlation,n_valid_multi_seed,n_lost_multi_seed
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbP",0.292198743286,0.243745533213,0.243329543278,0.244161523148,8,9,1,0.000300152350973,0.361211009634,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","stressStrength",0.182644333571,0.221724473472,0.210347119846,0.233101827099,13,10,-3,0.00820918765440,0.961831123623,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","ecSurvival",0.242586788814,0.165298292305,0,0.489282945223,9,11,2,0.233767086815,2.40002380616,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","pOffMax",0.200617283951,0.143883658422,0,0.406178018599,12,12,0,0.189255225253,0.654453672160,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","divProbFN",0.0747268604411,0.0886988811136,0,0.262548688096,14,13,-1,0.125439160638,0.997108963718,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","clusterRadius",0.336174242424,0.0703824255128,0.0281849206942,0.112579930331,7,14,7,0.0995357807129,0.484501284393,0.675000000000,2,0
"abc_target_03_ec_s480_standardized_residual","endothelial","dieProbFN",0.216049382716,0.0173255713687,0,0.0443303777847,11,15,4,0.0194849813687,0.123753280925,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","divProbMP",0.373304039470,0.391056835392,0,1.14474091970,1,1,0,0.543811353968,5.06398626966,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","endothelialMacrophageRadius",0.339343539480,0.319767361695,0,0.760510255383,2,2,0,0.318012539680,4.80683051619,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","dieProbMP",0.0801281589920,0.116699310251,0,0.335923785502,6,3,-3,0.165037747276,1.07643091584,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","dieProbFP",0.107407407407,0.0833153377340,0.0248543532900,0.141776322178,4,4,0,0.117825680577,1.24312869773,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","cafDivBoost",0.157060277422,0.0625994925670,0,0.134018805189,3,5,2,0.0515317145536,1.05811627891,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","macrophageInteractionRadius",0.0465154094186,0.0557078047151,0.0370447025377,0.0743709068925,10,6,-4,0.0134661286812,0.992428441480,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","divProbFP",0.00322860067722,0.0521416202449,0.0359817080022,0.0683015324876,15,7,-8,0.0737393865144,0.948260514643,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","divProbEP",0.100186832929,0.0502807997744,0,0.125627751531,5,8,3,0.0543656536007,1.06136075509,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","divProbP",0.0584397486571,0.0487491066425,0.0486659086555,0.0488323046295,8,9,1,6.00304701947e-05,0.361211009634,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","stressStrength",0.0365288667142,0.0443448946945,0.0420694239691,0.0466203654198,13,10,-3,0.00164183753088,0.961831123623,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","ecSurvival",0.0485173577628,0.0330596584610,0,0.0978565890447,9,11,2,0.0467534173630,2.40002380616,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","pOffMax",0.0401234567901,0.0287767316844,0,0.0812356037197,12,12,0,0.0378510450506,0.654453672160,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","divProbFN",0.0149453720882,0.0177397762227,0,0.0525097376192,14,13,-1,0.0250878321276,0.997108963718,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","clusterRadius",0.0672348484848,0.0140764851026,0.00563698413885,0.0225159860663,7,14,7,0.0199071561426,0.484501284393,0.675000000000,2,0
"abc_target_03_ec_s480_stat","endothelial","dieProbFN",0.0432098765432,0.00346511427375,0,0.00886607555694,11,15,4,0.00389699627375,0.123753280925,0.675000000000,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","divProbMP",2.78520499109,2.99022464464,0,8.85106494812,2,1,-1,4.22881624699,6.02374185976,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","cafDivBoost",4.16666666667,1.93452380952,0,4.94841269841,1,2,1,2.17463395008,0.912010044134,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","dieProbMP",1.32428940568,1.29101365341,0,3.82140041411,8,3,-5,1.82576901787,8.34229232262,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","divProbP",1.64141414141,1.27946127946,0.132828282828,2.42609427609,6,4,-2,1.80943149395,0.980047341308,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","endothelialMacrophageRadius",1.80555555556,0.922364672365,0,2.18575498575,4,5,1,0.911583528453,0.925509395271,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","pOffMax",1.66666666667,0.833333333333,0,2.46666666667,5,6,1,1.17851130198,1,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","macrophageInteractionRadius",0.0141723356009,0.701474048599,0,2.04880713557,10,7,-3,0.992034113182,1.05637156266,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","clusterRadius",0,0.694444444444,0,2.05555555556,13,8,-5,0.982092751648,1.54303349962,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","divProbFN",1.61892361111,0.503481678165,0.424064996369,0.582898359961,7,9,2,0.0573021165688,0.779303316638,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","ecSurvival",0,0.231481481481,0,0.685185185185,15,10,-5,0.327364250549,0.816496580928,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","divProbFP",0.0739585727519,0.129822926864,0,0.384275863517,9,11,2,0.183597343878,0.607580400521,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","stressStrength",0,0.0178062678063,0,0.0527065527066,11,12,1,0.0251818654269,0.0461511153994,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","dieProbFP",2.08333333333,0,0,0,3,13,10,0,0,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","dieProbFN",0,0,0,0,12,14,2,0,,0.632142857143,2,0
"abc_target_04_ec_s960_standardized_residual","endothelial","divProbEP",0,0,0,0,14,15,1,0,,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","divProbMP",0.557040998217,0.598044928927,0,1.77021298962,2,1,-1,0.845763249397,6.02374185976,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","cafDivBoost",0.833333333333,0.386904761905,0,0.989682539683,1,2,1,0.434926790016,0.912010044134,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","dieProbMP",0.264857881137,0.258202730683,0,0.764280082822,8,3,-5,0.365153803574,8.34229232262,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","divProbP",0.328282828283,0.255892255892,0.0265656565657,0.485218855219,6,4,-2,0.361886298789,0.980047341308,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","endothelialMacrophageRadius",0.361111111111,0.184472934473,0,0.437150997151,4,5,1,0.182316705691,0.925509395271,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","pOffMax",0.333333333333,0.166666666667,0,0.493333333333,5,6,1,0.235702260396,1,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","macrophageInteractionRadius",0.00283446712018,0.140294809720,0,0.409761427113,10,7,-3,0.198406822636,1.05637156266,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","clusterRadius",0,0.138888888889,0,0.411111111111,13,8,-5,0.196418550330,1.54303349962,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","divProbFN",0.323784722222,0.100696335633,0.0848129992738,0.116579671992,7,9,2,0.0114604233138,0.779303316638,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","ecSurvival",0,0.0462962962963,0,0.137037037037,15,10,-5,0.0654728501099,0.816496580928,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","divProbFP",0.0147917145504,0.0259645853728,0,0.0768551727034,9,11,2,0.0367194687756,0.607580400521,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","stressStrength",0,0.00356125356125,0,0.0105413105413,11,12,1,0.00503637308537,0.0461511153994,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","dieProbFP",0.416666666667,0,0,0,3,13,10,0,0,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","dieProbFN",0,0,0,0,12,14,2,0,,0.632142857143,2,0
"abc_target_04_ec_s960_stat","endothelial","divProbEP",0,0,0,0,14,15,1,0,,0.632142857143,2,0
"abc_target_05_ec_s1440_standardized_residual","endothelial","divProbMP",8.33333333333,8.25396825397,,,1,1,0,,84.9156444165,0.952380952381,1,1
"abc_target_05_ec_s1440_standardized_residual","endothelial","dieProbMP",3.23553890970,3.82212662907,,,2,2,0,,10.2511298244,0.952380952381,1,1
"abc_target_05_ec_s1440_standardized_residual","endothelial","divProbFN",0.158730158730,1.38678015490,,,4,3,-1,,1.65382477637,0.952380952381,1,1
"abc_target_05_ec_s1440_standardized_residual","endothelial","divProbFP",0.711829511356,0.240684775949,,,3,4,1,,0.442457736946,0.952380952381,1,1
"abc_target_05_ec_s1440_standardized_residual","endothelial","macrophageInteractionRadius",0,0.00157682766329,0,0.00466740988335,6,5,-1,0.00222997106695,0.217350371578,0.952380952381,2,0
"abc_target_05_ec_s1440_standardized_residual","endothelial","stressStrength",0,0,0,0,5,6,1,0,0,0.952380952381,2,0
"abc_target_05_ec_s1440_standardized_residual","endothelial","dieProbFN",0,0,,,7,7,0,,,0.952380952381,1,1
"abc_target_05_ec_s1440_standardized_residual","endothelial","ecSurvival",0,0,0,0,8,8,0,0,,0.952380952381,2,0
"abc_target_05_ec_s1440_stat","endothelial","divProbMP",1.66666666667,1.65079365079,,,1,1,0,,84.9156444165,0.952380952381,1,1
"abc_target_05_ec_s1440_stat","endothelial","dieProbMP",0.647107781939,0.764425325814,,,2,2,0,,10.2511298244,0.952380952381,1,1
"abc_target_05_ec_s1440_stat","endothelial","divProbFN",0.0317460317460,0.277356030979,,,4,3,-1,,1.65382477637,0.952380952381,1,1
"abc_target_05_ec_s1440_stat","endothelial","divProbFP",0.142365902271,0.0481369551898,,,3,4,1,,0.442457736946,0.952380952381,1,1
"abc_target_05_ec_s1440_stat","endothelial","macrophageInteractionRadius",0,0.000315365532658,0,0.000933481976669,6,5,-1,0.000445994213391,0.217350371578,0.952380952381,2,0
"abc_target_05_ec_s1440_stat","endothelial","stressStrength",0,0,0,0,5,6,1,0,,0.952380952381,2,0
"abc_target_05_ec_s1440_stat","endothelial","dieProbFN",0,0,,,7,7,0,,,0.952380952381,1,1
"abc_target_05_ec_s1440_stat","endothelial","ecSurvival",0,0,0,0,8,8,0,0,,0.952380952381,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","divProbMP",4.08445621718,3.88306369204,0,8.25853596786,1,1,0,3.15706746646,20.4191950712,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","dieProbMP",2.55057239596,3.10896435575,0,8.03161741890,2,2,0,3.55187894120,9.40737578189,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","stressStrength",2.29248585486,2.33428190831,0,6.87737046964,3,3,0,3.27800890739,2.59528028546,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","divProbFN",2.12119714204,1.59480067039,1.08776776455,2.10183357622,4,4,0,0.365843271431,3.98581680307,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","divProbFP",0.102687981980,1.23041122116,0,3.61981532870,11,5,-6,1.72404474228,5.28460924792,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","dieProbFN",0.604754022312,0.583614078553,0,1.71088997676,8,6,-2,0.813371869276,0.806419143044,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","divProbP",0.462986953373,0.543799271710,0,1.54067888879,9,7,-2,0.769048305261,0.814166624758,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","clusterRadius",1.04789785316,0.317229711578,0,0.916105658256,6,8,2,0.448630560501,0.625825080553,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","cafDivBoost",0.427435794374,0.302639381546,0,0.880541569502,10,9,-1,0.416978118333,0.475935118252,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","divProbEP",0.712555382687,0.196188546463,0,0.566541032382,7,10,3,0.277452503190,0.976019855893,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","endothelialMacrophageRadius",0.0707115876165,0.0750518204132,0.00281799646815,0.147285644358,12,11,-1,0.0521194150435,1.20882696000,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","macrophageInteractionRadius",1.20959231491,0.0401513209209,0,0.0907432309412,5,12,7,0.0567825425936,0.359139133685,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","ecSurvival",0.00151205998228,0.0281170493563,0,0.0772075262915,15,13,-2,0.0397635125336,0.220046966971,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","dieProbFP",0.0260179786987,0.0222056660066,0,0.0611747729546,14,14,0,0.0314035540280,1.06835834746,0.792857142857,2,0
"abc_target_06_mac_s1440_standardized_residual","macrophage","pOffMax",0.0423978493806,0.0169432649837,0,0.0441638948516,13,15,2,0.0196407060896,0.311317624673,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","divProbMP",0.816891243436,0.776612738408,0,1.65170719357,1,1,0,0.631413493291,20.4191950712,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","dieProbMP",0.510114479192,0.621792871151,0,1.60632348378,2,2,0,0.710375788240,9.40737578189,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","stressStrength",0.458497170972,0.466856381662,0,1.37547409393,3,3,0,0.655601781479,2.59528028546,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","divProbFN",0.424239428408,0.318960134077,0.217553552910,0.420366715245,4,4,0,0.0731686542862,3.98581680307,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","divProbFP",0.0205375963960,0.246082244232,0,0.723963065740,11,5,-6,0.344808948456,5.28460924792,0.792857142857,2,0
"abc_target_06_mac_s1440_stat","macrophage","dieProbFN",0.120950804462,0.116722815711,0,0.342177995352,8,6,-2,0.162674373855,0.806419143044,0.792857142857,2,0
